v,drift_par,diff_par,diff_perp,total_diff,cross_section
0.0,-1.2232772418255068e-12,4.9381178100970895e-05,9.687837780133755e-05,0.00014625955590230844,2e-28
66666.66666666667,-1.1202041524887188e-10,4.5070207701007666e-05,9.651058312091163e-05,0.0001415807908219193,4.4989877277612534e-32
133333.33333333334,-2.483072288167962e-10,3.7829900388933435e-05,9.415542908005272e-05,0.00013198532946898616,1.12493672230937e-32
200000.0,-2.783552064256186e-10,2.7441324083123917e-05,9.073055020448455e-05,0.00011817187428760847,4.9998750031249214e-33
266666.6666666667,-2.5428537458130685e-10,1.8002199573198155e-05,8.633597332512757e-05,0.00010433817289832573,2.812460449774925e-33
333333.3333333334,-2.32400249502163e-10,1.0755275410973039e-05,8.096343187416279e-05,9.171870728513583e-05,1.7999838001457983e-33
400000.0,-1.8181331022878552e-10,5.703111973276882e-06,7.483596741392621e-05,8.053907938720309e-05,1.2499921875488279e-33
466666.6666666667,-1.4806126236562006e-10,2.6745561881673395e-06,6.930175182562512e-05,7.197630801379245e-05,9.183631299652194e-34
533333.3333333334,-1.179797777261596e-10,6.172850068128908e-07,6.398124086472089e-05,6.459852587153379e-05,7.031225280848622e-34
600000.0,-9.631437566209078e-11,-4.7338605214155006e-07,5.9444675294490325e-05,5.8971289242348776e-05,5.555540123499657e-34
